scientific_name,aphia_id,family,common_name,hawaiian_name,status,phases,notes
Acanthurus achilles,,Acanthuridae,Achilles tang,Paku iku i,indigenous,,
Acanthurus blochii,,Acanthuridae,Ringtail surgeonfish,Pualu,indigenous,,
Acanthurus dussumieri,,Acanthuridae,Eyestripe surgeonfish,Palani,indigenous,,
Acanthurus guttatus,,Acanthuridae,Whitespotted surgeonfish,Apii,indigenous,,Surge zone
Acanthurus leucopareius,,Acanthuridae,Whitebar surgeonfish,Maikoiko,indigenous,,
Acanthurus nigricans,,Acanthuridae,Whitecheek surgeonfish,,indigenous,,
Acanthurus nigrofuscus,,Acanthuridae,Brown surgeonfish,Maiii,indigenous,,
Acanthurus nigroris,,Acanthuridae,Bluelined surgeonfish,Maiii lii,endemic,,Split from A. nigros
Acanthurus olivaceus,,Acanthuridae,Orangeband surgeonfish,Naenae,indigenous,juvenile|adult,
Acanthurus thompsoni,,Acanthuridae,Thompson's surgeonfish,,indigenous,,
Acanthurus triostegus,,Acanthuridae,Convict tang,Manini,endemic,,Hawaiian subspecies sandvicensis
Acanthurus xanthopterus,,Acanthuridae,Yellowfin surgeonfish,Pualu,indigenous,,
Ctenochaetus hawaiiensis,,Acanthuridae,Chevron tang,,indigenous,,
Ctenochaetus strigosus,,Acanthuridae,Goldring surgeonfish,Kole,endemic,,Split from C. flavicauda
Naso annulatus,,Acanthuridae,Whitemargin unicornfish,Kala holo,indigenous,,
Naso brevirostris,,Acanthuridae,Spotted unicornfish,Kala lolo,indigenous,,
Naso caesius,,Acanthuridae,Gray unicornfish,Kala holo,indigenous,,
Naso hexacanthus,,Acanthuridae,Sleek unicornfish,Kala holo,indigenous,,
Naso lituratus,,Acanthuridae,Orangespine unicornfish,Umaumalei,indigenous,male|female,
Naso unicornis,,Acanthuridae,Bluespine unicornfish,Kala,indigenous,,
Zebrasoma flavescens,,Acanthuridae,Yellow tang,Lauipala,indigenous,,
Zebrasoma velifer,,Acanthuridae,Sailfin tang,Manini kea,indigenous,,
Antennarius commerson,,Antennariidae,Commerson's frogfish,,indigenous,juvenile|adult,
Antennarius drombus,,Antennariidae,Freckled frogfish,,endemic,,
Caprodon unicolor,,Anthiadidae,Elegant anthias,,endemic,,
Compsanthias hawaiiensis,,Anthiadidae,Hawaiian longfin anthias,,endemic,,Formerly Pseudanthias hawaiiensis
Apogon erythrinus,,Apogonidae,Hawaiian ruby cardinalfish,Upapalu,endemic,,
Apogon kallopterus,,Apogonidae,Iridescent cardinalfish,Upapalu,indigenous,,
Foa brachygramma,,Apogonidae,Weed cardinalfish,,endemic,,
Ostorhinchus maculiferus,,Apogonidae,Spotted cardinalfish,Upapalu,endemic,,
Pseudamiops diaphanes,,Apogonidae,Clear cardinalfish,,endemic,,
Aulostomus chinensis,,Aulostomidae,Trumpetfish,Nunu,indigenous,,
Melichthys niger,,Balistidae,Black triggerfish,Humuhumu ele ele,indigenous,,
Melichthys vidua,,Balistidae,Pinktail triggerfish,Humuhumu hi ukole,indigenous,,
Rhinecanthus aculeatus,,Balistidae,Lagoon triggerfish,Humuhumu nukunuku apua a,indigenous,,
Rhinecanthus rectangulus,,Balistidae,Reef triggerfish,Humuhumu nukunuku apua a,indigenous,,State fish
Sufflamen bursa,,Balistidae,Lei triggerfish,Humuhumu lei,indigenous,,
Sufflamen fraenatum,,Balistidae,Bridled triggerfish,,indigenous,,
Xanthichthys auromarginatus,,Balistidae,Gilded triggerfish,,indigenous,male|female,
Xanthichthys mento,,Balistidae,Crosshatch triggerfish,,indigenous,,
Cirripectes obscurus,,Blenniidae,Gargantuan blenny,,endemic,,
Cirripectes vanderbilti,,Blenniidae,Scarface blenny,,endemic,,
Entomacrodus marmoratus,,Blenniidae,Marbled blenny,Paoo,endemic,,
Entomacrodus strasburgi,,Blenniidae,Strasburg's blenny,,endemic,,
Exallias brevis,,Blenniidae,Shortbodied blenny,Pao o,indigenous,,
Istiblennius zebra,,Blenniidae,Zebra rockskipper,Paoo kauila,endemic,,
Plagiotremus ewaensis,,Blenniidae,Ewa fangblenny,,endemic,,
Plagiotremus goslinei,,Blenniidae,Gosline's fangblenny,,endemic,,
Bothus mancus,,Bothidae,Flowery flounder,Paki,indigenous,,
Engyprosopon hawaiiensis,,Bothidae,Hawaiian dwarf flounder,,endemic,,
Callionymus comptus,,Callionymidae,Hawaiian dragonet,,endemic,,
Callionymus decoratus,,Callionymidae,Longtail dragonet,,endemic,,
Synchiropus rosulentus,,Callionymidae,Rosy dragonet,,endemic,,
Caranx ignobilis,,Carangidae,Giant trevally,Ulua aukea,indigenous,juvenile|adult,
Caranx melampygus,,Carangidae,Bluefin trevally,Omilu,indigenous,,
Decapterus macarellus,,Carangidae,Mackerel scad,Opelu,indigenous,,
Elagatis bipinnulata,,Carangidae,Rainbow runner,Kamanu,indigenous,,
Gnathanodon speciosus,,Carangidae,Golden trevally,Ulua paopao,indigenous,,
Scomberoides lysan,,Carangidae,Leatherback,Lai,indigenous,,
Selar crumenophthalmus,,Carangidae,Bigeye scad,Akule,indigenous,,
Seriola dumerili,,Carangidae,Greater amberjack,Kahala,indigenous,,
Carcharhinus amblyrhynchos,,Carcharhinidae,Grey reef shark,Mano,indigenous,,
Carcharhinus galapagensis,,Carcharhinidae,Galapagos shark,Mano,indigenous,,
Carcharhinus melanopterus,,Carcharhinidae,Blacktip reef shark,Mano pateuha,indigenous,,
Triaenodon obesus,,Carcharhinidae,Whitetip reef shark,Mano lalakea,indigenous,,
Chaetodon auriga,,Chaetodontidae,Threadfin butterflyfish,Kikakapu,indigenous,,
Chaetodon citrinellus,,Chaetodontidae,Speckled butterflyfish,Kikakapu,indigenous,,
Chaetodon ephippium,,Chaetodontidae,Saddleback butterflyfish,,indigenous,,
Chaetodon fremblii,,Chaetodontidae,Bluestripe butterflyfish,Kikakapu,endemic,,
Chaetodon kleinii,,Chaetodontidae,Blacklip butterflyfish,,indigenous,,
Chaetodon lineolatus,,Chaetodontidae,Lined butterflyfish,Kikakapu,indigenous,,
Chaetodon lunula,,Chaetodontidae,Raccoon butterflyfish,Kikakapu,indigenous,juvenile|adult,
Chaetodon miliaris,,Chaetodontidae,Milletseed butterflyfish,Lauwiliwili,endemic,,Common shallow to mesophotic
Chaetodon multicinctus,,Chaetodontidae,Multiband butterflyfish,Kikakapu,endemic,,Obligate corallivore
Chaetodon ornatissimus,,Chaetodontidae,Ornate butterflyfish,Kikakapu,indigenous,,
Chaetodon quadrimaculatus,,Chaetodontidae,Fourspot butterflyfish,Lauhau,indigenous,,
Chaetodon reticulatus,,Chaetodontidae,Reticulated butterflyfish,Kikakapu,indigenous,,
Chaetodon tinkeri,,Chaetodontidae,Tinker's butterflyfish,,endemic,,Verify: also reported Johnston and Marshall Is
Chaetodon trifascialis,,Chaetodontidae,Chevron butterflyfish,Kikakapu,indigenous,,
Chaetodon unimaculatus,,Chaetodontidae,Teardrop butterflyfish,Lauhau,indigenous,,
